Year,Quarter,Category,Name,RegisteredUsers
2019,4,pincodes,560068,313673
2019,4,pincodes,500072,279498
2019,4,pincodes,110092,264380
2019,4,pincodes,122001,258880
2019,4,pincodes,421302,243170
2019,4,pincodes,560078,218317
2019,4,pincodes,395006,214322
2019,4,pincodes,560076,211683
2021,3,states,maharashtra,42581217
2021,3,states,uttar pradesh,34151882
2021,3,states,karnataka,27614221
2021,3,states,andhra pradesh,21059898
2021,3,states,rajasthan,20499465
2021,3,states,telangana,19615278
2021,3,states,west bengal,19323278
2021,3,states,tamil nadu,19127440
2021,3,states,madhya pradesh,17210233
2021,3,states,gujarat,16946761
2021,3,districts,bengaluru urban,11321012
2021,3,districts,pune,7398336
2021,3,districts,thane,4597394
2021,3,districts,jaipur,4534297
2021,3,districts,mumbai suburban,4444495
2021,3,districts,hyderabad,3839513
2021,3,districts,ahmadabad,3445024
2021,3,districts,rangareddy,3310906
2021,3,districts,north twenty four parganas,2852030
2021,3,districts,surat,2830392
2021,3,pincodes,201301,618043
2021,3,pincodes,110059,520096
2021,3,pincodes,560068,486170
2021,3,pincodes,421302,456284
2021,3,pincodes,500072,425197
2021,3,pincodes,122001,412737
2021,3,pincodes,110092,409520
2021,3,pincodes,110086,357590
2021,3,pincodes,121004,352312
2021,3,pincodes,560078,346840
2021,1,states,maharashtra,37077537
2021,1,states,uttar pradesh,29482075
2021,1,states,karnataka,24095832
2021,1,states,andhra pradesh,18363733
2021,1,states,rajasthan,17661088
2021,1,states,telangana,17149069
2021,1,states,west bengal,16808799
2021,1,states,tamil nadu,16632608
2021,1,states,madhya pradesh,14839427
2021,1,states,gujarat,14670126
2021,1,districts,bengaluru urban,9955387
2021,1,districts,pune,6481971
2021,1,districts,thane,4014464
2021,1,districts,jaipur,3951866
2021,1,districts,mumbai suburban,3886500
2021,1,districts,hyderabad,3379663
2021,1,districts,ahmadabad,2999575
2021,1,districts,rangareddy,2906635
2021,1,districts,north twenty four parganas,2491076
2021,1,districts,surat,2458596
2021,1,pincodes,201301,541127
2021,1,pincodes,110059,454201
2021,1,pincodes,560068,427525
2021,1,pincodes,421302,396179
2021,1,pincodes,500072,375272
2021,1,pincodes,122001,361360
2021,1,pincodes,110092,359376
2021,1,pincodes,110086,310419
2021,1,pincodes,121004,306230
2021,1,pincodes,560078,305721
2021,2,states,maharashtra,39664697
2021,2,states,uttar pradesh,31651894
2021,2,states,karnataka,25751023
2021,2,states,andhra pradesh,19620905
2021,2,states,rajasthan,18980985
2021,2,states,telangana,18306880
2021,2,states,west bengal,17979979
2021,2,states,tamil nadu,17804542
